,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
36257,202774,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96398702033709, 40.71590114272309], [-73.96409279654617, 40.715717005197284], [-73.96416610581626, 40.715739050018655], [-73.9640558060278, 40.715915172557864], [-73.96401068897036, 40.71589487626935], [-73.96400429690208, 40.71590581457049], [-73.96398702033709, 40.71590114272309]]]]}",202401,3023790045,81 GRAND STREET,Potential Lead,HISTORICAL DATA,No,190.120589594,1461.88052504
36258,202791,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9613276318162, 40.71483565442867], [-73.96134736494731, 40.714813583241465], [-73.96147283102695, 40.71467324382548], [-73.96155322582014, 40.7147060880046], [-73.96140403463296, 40.71487296570285], [-73.9613276318162, 40.71483565442867]]]]}",202418,3023800028,163 GRAND STREET,Potential Lead,HISTORICAL DATA,No,195.560232262,1825.1721311
36259,202793,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96146068491262, 40.71490058712683], [-73.96160909886915, 40.714728914778995], [-73.96167502206481, 40.71475584669749], [-73.96152629398811, 40.71493267174526], [-73.96146068491262, 40.71490058712683]]]]}",202420,3023800030,159 GRAND STREET,Potential Lead,HISTORICAL DATA,No,193.714558973,1600.20760342
36260,202794,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96152629398811, 40.71493267174526], [-73.96167502206481, 40.71475584669749], [-73.96174100329067, 40.71478280201069], [-73.96158913458257, 40.71496335961134], [-73.96152629398811, 40.71493267174526]]]]}",202421,3023800031,155 GRAND STREET,Potential Lead,HISTORICAL DATA,No,196.048930622,1599.98196355
36261,202795,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96164216573273, 40.7149892579622], [-73.96162735032394, 40.71498202282684], [-73.96158913458257, 40.71496335961134], [-73.96174100329067, 40.71478280201069], [-73.96182547093316, 40.71481730969488], [-73.96167701894669, 40.71497341788486], [-73.96165567967884, 40.71499585780235], [-73.96164216573273, 40.7149892579622]]]]}",202422,3023800032,153 GRAND STREET,Potential Lead,HISTORICAL DATA,No,206.893195301,1913.49702726
36262,202796,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96174343514762, 40.71500376466273], [-73.96167701894669, 40.71497341788486], [-73.96182547093316, 40.71481730969488], [-73.9619350119505, 40.7148620590104], [-73.96178853534848, 40.715024371612614], [-73.96174343514762, 40.71500376466273]]]]}",202423,3023800033,151 GRAND STREET,Potential Lead,HISTORICAL DATA,No,212.463714592,2490.00650116
36263,202798,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96185472921314, 40.715054618295625], [-73.9620090782302, 40.71489231901422], [-73.96207642159736, 40.71491983019894], [-73.96194519410042, 40.71505781532995], [-73.96191969360076, 40.71504739699754], [-73.96189522692958, 40.71507312368813], [-73.96185472921314, 40.715054618295625]]]]}",202425,3023800036,145 GRAND STREET,Potential Lead,HISTORICAL DATA,No,188.92060543,1449.94941935
36264,202799,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96199489951051, 40.71507812114942], [-73.96194519410042, 40.71505781532995], [-73.96207642159736, 40.71491983019894], [-73.96214109570354, 40.71494625084888], [-73.9620098682876, 40.715084237854086], [-73.96199489951051, 40.71507812114942]]]]}",202426,3023800037,143 GRAND STREET,Potential Lead,HISTORICAL DATA,No,164.807848464,1251.51325532
36265,202800,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9620098682876, 40.715084237854086], [-73.96214109570354, 40.71494625084888], [-73.96221670034295, 40.714977137079316], [-73.96208092594554, 40.71511326672066], [-73.9620098682876, 40.715084237854086]]]]}",202427,3023800038,141 GRAND STREET,Potential Lead,HISTORICAL DATA,No,170.462822985,1419.03744778
36266,202807,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96052672623104, 40.714644980473714], [-73.96075170772473, 40.714377386061045], [-73.96082973651146, 40.71440943478957], [-73.96060085173723, 40.71468167104958], [-73.96052672623104, 40.714644980473714]]]]}",202434,3023810005,185 GRAND STREET,Potential Lead,HISTORICAL DATA,No,282.575244028,2861.72954185
