,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
60451,384060,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90441540001864, 40.64821949631886], [-73.9046930398571, 40.64803870455798], [-73.90474882607839, 40.648088685412304], [-73.90447118618312, 40.64826947730684], [-73.90441540001864, 40.64821949631886]]]]}",386318,3081470046,910 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,250.525282224,2422.58702224
60452,384064,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90405507383068, 40.64789666305944], [-73.90439691836737, 40.647674064959794], [-73.90445993985622, 40.64773052759802], [-73.90411809523806, 40.64795312768468], [-73.90405507383068, 40.64789666305944]]]]}",386322,3081470053,930 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,303.605766536,3369.69683654
60453,384065,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90400605882924, 40.64785274710642], [-73.90440183880244, 40.647595027857506], [-73.90445085387499, 40.64763894364303], [-73.90439691836737, 40.647674064959794], [-73.90405507383068, 40.64789666305944], [-73.90400605882924, 40.64785274710642]]]]}",386323,3081470054,932 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,330.9867264,3034.33545849
60454,384066,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90395470832918, 40.64780673997946], [-73.90429660717798, 40.64758410529995], [-73.90435048822759, 40.64754902090589], [-73.90440183880244, 40.647595027857506], [-73.90400605882924, 40.64785274710642], [-73.90395470832918, 40.64780673997946]]]]}",386324,3081470055,934 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,332.987215203,3178.89132757
60455,384067,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90390102470458, 40.647758641677314], [-73.90424292348492, 40.6475360080567], [-73.90429660717798, 40.64758410529995], [-73.90395470832918, 40.64780673997946], [-73.90390102470458, 40.647758641677314]]]]}",386325,3081470056,936 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,295.644548984,2870.88350569
60458,384236,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9000031866908, 40.64612522717965], [-73.89996289632546, 40.64608898949488], [-73.90024125740746, 40.645907931702986], [-73.90030017882205, 40.64596092608345], [-73.90022270804705, 40.64601131674881], [-73.90013830827152, 40.64606621384357], [-73.90006303367059, 40.646115175384054], [-73.90002181767889, 40.64614198401687], [-73.9000031866908, 40.64612522717965]]]]}",387307,3081870032,713 EAST 99 STREET,Potential Lead,HISTORICAL DATA,No,253.760010925,2570.01178838
60476,384417,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89889582007545, 40.64325764874678], [-73.89904238224432, 40.64316318701239], [-73.89928410813589, 40.643395369910316], [-73.89914731095504, 40.64348353778374], [-73.89889582007545, 40.64325764874678]]]]}",388010,3082050058,EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,318.877897426,5557.71575155
60593,386404,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90547576016829, 40.64662240388122], [-73.9058355437702, 40.64639060482314], [-73.90583883930593, 40.64639356032134], [-73.90589108734588, 40.646440413835926], [-73.90553130366857, 40.64667221306643], [-73.90547576016829, 40.64662240388122]]]]}",386233,3081450057,974 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,309.153955862,3113.48105452
60594,386408,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90523441139834, 40.64640597097965], [-73.90551351792341, 40.64622615007719], [-73.90559455204077, 40.646173942431595], [-73.90561942722, 40.646196249779344], [-73.90566844831832, 40.64624076030066], [-73.90530866376177, 40.6464725588389], [-73.90523441139834, 40.64640597097965]]]]}",386237,3081450061,990 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,325.324757487,4165.04450063
60595,386435,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90533313572945, 40.64717069864696], [-73.90561614600362, 40.64698802878017], [-73.90566770243356, 40.647034248760846], [-73.9053847193226, 40.64721690076556], [-73.90533313572945, 40.64717069864696]]]]}",386264,3081460015,955 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,250.065692618,2274.51340298
60596,386436,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9053847193226, 40.64721690076556], [-73.90566770243356, 40.647034248760846], [-73.90571436813197, 40.64707608368692], [-73.90543140863858, 40.64725872051626], [-73.9053847193226, 40.64721690076556]]]]}",386265,3081460016,953 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,245.854683567,2058.5520555
60597,386437,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90543140863858, 40.64725872051626], [-73.90571436813197, 40.64707608368692], [-73.90576019198912, 40.647117164170126], [-73.90547725729652, 40.647299785822966], [-73.90543140863858, 40.64725872051626]]]]}",386266,3081460017,949 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,245.115956252,2021.26216264
60598,386438,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90547725729652, 40.647299785822966], [-73.90576019198912, 40.647117164170126], [-73.90580681175187, 40.64715895849722], [-73.90552390185935, 40.64734156497554], [-73.90547725729652, 40.647299785822966]]]]}",386267,3081460018,947 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,245.780626838,2056.20059485
